"NEW_BP"|"TC_MASTERCARD"|"TC_VISA"|"PRESTAMO_CONVENIO"|"PRESTAMO_CONSUMO"|"VIVIENDA"|"VEHICULO"
"1580371185"|0.00|53838.64|0.00|0.00|0.00|0.00
"1571680230"|162660.25|0.00|0.00|0.00|0.00|0.00
"1580496033"|68123.07|0.00|0.00|0.00|0.00|0.00
"1572339970"|211882.01|0.00|0.00|0.00|0.00|0.00
"1579354793"|0.00|17598.04|0.00|0.00|0.00|0.00
"1572754001"|19990.97|0.00|0.00|0.00|0.00|0.00
"1580159949"|0.00|10000.00|77345.52|0.00|0.00|0.00
"1572329327"|12789.53|0.00|0.00|0.00|0.00|0.00
"1572146036"|154053.29|0.00|0.00|0.00|0.00|0.00
"1571621257"|35320.02|0.00|0.00|0.00|0.00|0.00
"1572116381"|17847.90|8461.96|0.00|0.00|0.00|0.00
"1578892744"|33858.15|103455.02|0.00|0.00|0.00|0.00
"1579352917"|35399.04|0.00|182835.62|0.00|0.00|0.00
"1580142699"|0.00|22816.70|0.00|0.00|0.00|0.00
"1581663203"|0.00|22271.44|0.00|0.00|1846938.67|0.00
"1581566099"|0.00|27975.63|0.00|0.00|0.00|0.00
"1571826597"|495.96|1771.44|0.00|0.00|0.00|0.00
"1579231134"|8796.03|20717.68|794608.01|0.00|0.00|0.00
"1579217953"|11411.07|0.00|0.00|0.00|0.00|0.00
"1572930801"|0.00|34063.92|0.00|0.00|0.00|0.00
"1579002490"|35168.28|0.00|0.00|251161.27|0.00|0.00
"1571828587"|0.00|501.06|0.00|0.00|0.00|0.00
"1578055072"|0.00|23609.06|0.00|0.00|0.00|0.00
"1582336547"|14033.49|0.00|0.00|0.00|0.00|0.00
"1581738741"|0.00|40685.07|311120.48|0.00|0.00|0.00
"1578513334"|49107.24|35598.68|26886.22|0.00|0.00|0.00
"1571650181"|0.00|3204.81|0.00|0.00|0.00|0.00
"1571611340"|26828.95|0.00|0.00|0.00|0.00|0.00
"1579883836"|0.00|8917.70|0.00|0.00|0.00|0.00
"1581860609"|0.00|6525.71|0.00|0.00|0.00|0.00
"1580947299"|0.00|27350.26|0.00|0.00|0.00|0.00
"1572459499"|33443.14|0.00|0.00|0.00|0.00|0.00
"1579970081"|4744.54|0.00|0.00|0.00|0.00|0.00
"1572580144"|0.00|22394.84|0.00|26372.61|0.00|0.00
"1572337291"|8168.33|0.00|0.00|0.00|0.00|0.00
"1579979373"|0.00|39933.90|0.00|0.00|0.00|0.00
"1581014966"|0.00|9265.62|50350.46|0.00|0.00|0.00
"1572633826"|0.00|21374.24|0.00|0.00|0.00|0.00
"1581022294"|10364.88|0.00|0.00|0.00|0.00|0.00
"1581825787"|0.00|9890.15|210843.59|0.00|0.00|0.00
"1572558037"|36083.78|0.00|0.00|0.00|0.00|0.00
"1571894459"|48430.16|0.00|0.00|0.00|0.00|0.00
"1581311408"|0.00|25330.46|0.00|0.00|0.00|0.00
"1572608754"|8543.91|0.00|0.00|0.00|0.00|0.00
"1572106381"|167646.45|14451.40|0.00|0.00|0.00|0.00
"1580940382"|19541.80|0.00|0.00|0.00|0.00|0.00
"1572639247"|0.00|28820.64|0.00|0.00|0.00|0.00
"1579219559"|57088.90|0.00|0.00|0.00|0.00|0.00
"1581620903"|0.00|14021.80|0.00|0.00|0.00|0.00
"1579004074"|0.00|51735.45|0.00|0.00|0.00|0.00
"1572084223"|0.00|32480.71|0.00|0.00|0.00|0.00
"1572909560"|0.00|7218.74|0.00|0.00|0.00|0.00
"1572727667"|42708.14|0.00|172658.34|0.00|0.00|0.00
"1571845538"|0.00|3096.89|0.00|0.00|0.00|0.00
"1572471618"|26154.91|0.00|0.00|0.00|0.00|0.00
"1578698099"|64791.09|0.00|0.00|0.00|0.00|0.00
"1573022270"|0.00|18052.29|0.00|0.00|0.00|0.00
"1581809272"|0.00|39233.04|116311.05|0.00|0.00|0.00
"1572084261"|11463.67|0.00|0.00|0.00|0.00|0.00
"1577909913"|0.00|495.97|0.00|0.00|0.00|0.00
"1572402568"|0.00|18300.27|261035.69|0.00|0.00|0.00
"1581345727"|0.00|41273.23|0.00|0.00|0.00|0.00
"1571813930"|7168.20|0.00|134946.36|0.00|0.00|0.00
"1572559070"|6809.95|0.00|0.00|0.00|0.00|0.00
"1572948332"|39021.89|0.00|0.00|0.00|0.00|0.00
"1578903507"|40352.38|0.00|75973.61|0.00|0.00|0.00
"1572785851"|74893.71|200301.70|192929.80|0.00|0.00|0.00
"1579027460"|108908.68|0.00|0.00|0.00|0.00|0.00
"1572935870"|15459.35|12965.03|0.00|0.00|0.00|0.00
"1581730513"|0.00|51760.42|0.00|0.00|0.00|0.00
"1571949840"|127105.97|0.00|0.00|0.00|0.00|0.00
"1572339683"|0.00|3210.60|0.00|0.00|0.00|0.00
"1572301147"|0.00|15324.14|0.00|0.00|0.00|0.00
"1581477596"|10129.24|0.00|0.00|0.00|0.00|0.00
"1572956803"|0.00|11235.14|59119.07|0.00|0.00|0.00
"1571582062"|38044.63|0.00|0.00|0.00|0.00|0.00
"1582688789"|0.00|59065.86|0.00|0.00|0.00|0.00
"1579116038"|0.00|105487.35|145566.36|0.00|0.00|0.00
"1572355718"|47943.20|0.00|0.00|0.00|0.00|0.00
"1577907968"|36493.73|27061.30|0.00|0.00|0.00|0.00
"1578666198"|2932.62|14926.21|0.00|0.00|0.00|0.00
"1577678379"|0.00|11424.07|0.00|0.00|0.00|0.00
"1580359816"|10890.25|25217.90|0.00|0.00|0.00|0.00
"1572638913"|0.00|16807.23|0.00|0.00|0.00|0.00
"1580108403"|4331.62|27677.05|0.00|0.00|0.00|0.00
"1571542857"|20130.22|0.00|0.00|0.00|0.00|0.00
"1580184303"|0.00|102666.38|0.00|0.00|0.00|0.00
"1578723600"|32827.01|0.00|0.00|0.00|0.00|0.00
"1581686012"|4479.84|13448.86|0.00|0.00|0.00|0.00
"1571848244"|38018.88|0.00|0.00|0.00|0.00|0.00
"1580315142"|0.00|15015.68|0.00|0.00|0.00|0.00
"1579188877"|14977.76|25331.01|0.00|0.00|0.00|0.00
"1579996932"|22929.62|0.00|0.00|0.00|0.00|0.00
"1579793162"|0.00|13608.55|0.00|0.00|0.00|0.00
"1577831723"|12642.52|0.00|0.00|0.00|0.00|0.00
"1571618122"|0.00|19069.32|0.00|0.00|0.00|0.00
"1581755156"|10449.22|0.00|0.00|0.00|0.00|0.00
"1582191848"|0.00|32262.85|0.00|0.00|0.00|0.00
"1572915941"|0.00|1054.53|0.00|0.00|0.00|0.00
"1578613182"|20975.24|0.00|0.00|0.00|0.00|0.00
"1571579748"|45309.53|0.00|449910.23|0.00|0.00|0.00
"1572970820"|7513.78|30463.82|0.00|0.00|0.00|0.00
"1572337981"|0.00|25176.72|0.00|181140.10|0.00|0.00
"1579659122"|5161.32|6534.42|0.00|0.00|0.00|0.00
"1577707637"|34722.92|0.00|0.00|0.00|0.00|0.00
"1581159850"|0.00|11731.78|0.00|0.00|0.00|0.00
"1571864535"|0.00|16494.56|0.00|0.00|0.00|0.00
"1571970967"|37526.15|0.00|0.00|0.00|0.00|0.00
"1572977357"|0.00|20461.73|97772.69|0.00|0.00|0.00
"1572011573"|8877.99|0.00|0.00|0.00|0.00|0.00
"1571695516"|4825.42|54314.66|0.00|0.00|0.00|0.00
"1572651814"|23543.85|0.00|0.00|32972.45|0.00|0.00
"1571914135"|0.00|4024.88|0.00|0.00|0.00|0.00
"1578654175"|8662.26|0.00|0.00|0.00|0.00|0.00
"1573092964"|14547.66|0.00|0.00|0.00|0.00|0.00
"1572937951"|0.00|6045.10|244338.22|0.00|0.00|0.00
"1579330736"|0.00|32819.15|0.00|0.00|0.00|0.00
"1572284441"|15007.09|0.00|0.00|0.00|0.00|0.00
"1572346797"|24369.65|0.00|0.00|0.00|0.00|0.00
"1572438108"|0.00|30108.68|171611.16|0.00|0.00|0.00
"1571938222"|31506.33|0.00|0.00|0.00|0.00|207533.38
"1572444209"|26099.48|0.00|0.00|0.00|0.00|0.00
"1572312593"|14439.12|4009.63|0.00|0.00|0.00|0.00
"1580733443"|0.00|16661.70|98814.49|0.00|0.00|0.00
"1581016096"|0.00|17406.47|0.00|0.00|0.00|0.00
"1571621367"|0.00|27298.28|0.00|0.00|169889.62|0.00
"1572882963"|33731.43|0.00|0.00|28941.87|0.00|0.00
"1580316540"|0.00|7582.95|131649.55|0.00|0.00|0.00
"1577653563"|0.00|396.23|10731.22|0.00|0.00|0.00
"1578435408"|0.00|39962.87|0.00|0.00|0.00|0.00
"1579511636"|0.00|23453.43|0.00|0.00|0.00|0.00
