"NEW_BP"|"DEPARTAMENTO"|"MUNICIPIO"|"CIUDAD"|"BARRIO_CASERIO"
"1572279576"|"FRANCISCO MORAZAN"|"DISTRITO CENTRAL"|"DISTRITO CENTRAL"|"COLONIA PAYAQUI"
"1580361774"|"ATLANTIDA"|"LA CEIBA"|"LA CEIBA"|"COLONIA SUYAPA"
"1572279695"|"FRANCISCO MORAZAN"|"DISTRITO CENTRAL"|"DISTRITO CENTRAL"|"RES ALTOS DE MIRAFLORES SUR"
"1572900603"|"CHOLUTECA"|"CHOLUTECA"|"CHOLUTECA"|"BARRIO LA LIBERTAD"
"1572280938"|"CORTES"|"SAN PEDRO SULA"|"SAN PEDRO SULA"|"COLONIA RANCHO EL COCO"
"1572279338"|"FRANCISCO MORAZAN"|"DISTRITO CENTRAL"|"DISTRITO CENTRAL"|"COLONIA FLORENCIA NORTE"
"1572280115"|"YORO"|"YORO"|"YORO"|"COLONIA RAFAEL DIAZ CHAVEZ"
"1572278296"|"ATLANTIDA"|"TELA"|"TELA"|"BARRIO EL RETIRO"
"1581581053"|"FRANCISCO MORAZAN"|"DISTRITO CENTRAL"|"DISTRITO CENTRAL"|"COLONIA HATO DE EN MEDIO"
"1572278163"|"ATLANTIDA"|"LA CEIBA"|"LA CEIBA"|"VILLA GABRIELA"
"1572279279"|"FRANCISCO MORAZAN"|"DISTRITO CENTRAL"|"DISTRITO CENTRAL"|"COLONIA LA ESPERANZA"
"1572282580"|"FRANCISCO MORAZAN"|"DISTRITO CENTRAL"|"DISTRITO CENTRAL"|"COLONIA SAN FRANCISCO"
"1571992889"|"FRANCISCO MORAZAN"|"DISTRITO CENTRAL"|"DISTRITO CENTRAL"|"COLONIA AMERICA"
"1579367064"|"CORTES"|"SAN PEDRO SULA"|"SAN PEDRO SULA"|"COLONIA JARDINES DEL VALLE"
"1572749959"|"VALLE"|"SAN LORENZO"|"SAN LORENZO"|"BARRIO MONGOLLANO"
"1572279225"|"FRANCISCO MORAZAN"|"DISTRITO CENTRAL"|"DISTRITO CENTRAL"|"VILLAS DE SAN IGNACIO"
"1572631637"|"FRANCISCO MORAZAN"|"DISTRITO CENTRAL"|"DISTRITO CENTRAL"|"BOULEVARD JUAN PABLO II"
"1572307255"|"FRANCISCO MORAZAN"|"DISTRITO CENTRAL"|"DISTRITO CENTRAL"|"COLONIA LOS ROBLES"
"1578203971"|"YORO"|"EL PROGRESO"|"EL PROGRESO"|"COLONIA COROCOL"
"1572280647"|"COMAYAGUA"|"SIGUATEPEQUE"|"SIGUATEPEQUE"|"BARRIO MACARUYA"
"1572279228"|"FRANCISCO MORAZAN"|"DISTRITO CENTRAL"|"DISTRITO CENTRAL"|"COLONIA SAN IGNACION"
"1572727667"|"CORTES"|"SAN PEDRO SULA"|"COFRADIA"|"COLONIA BRISAS DEL VALLE"
"1572278081"|"YORO"|"EL PROGRESO"|"EL PROGRESO"|"BARRIO MONTE VIDEO"
"1572280324"|"ATLANTIDA"|"LA CEIBA"|"LA CEIBA"|"COLONIA SIERRA PINA"
"1572949892"|"CORTES"|"SAN PEDRO SULA"|"SAN PEDRO SULA"|"COLONIA SATELITE I ETAPA"
"1577624161"|"FRANCISCO MORAZAN"|"DISTRITO CENTRAL"|"DISTRITO CENTRAL"|"COLONIA SAN JOSE DE LA VEGA"
"1572278952"|"FRANCISCO MORAZAN"|"DISTRITO CENTRAL"|"DISTRITO CENTRAL"|"COLONIA SATELITE"
"1579654535"|"FRANCISCO MORAZAN"|"DISTRITO CENTRAL"|"DISTRITO CENTRAL"|"LOMAS DE TONCONTIN"
"1572004414"|"CORTES"|"PUERTO CORTES"|"PUERTO CORTES"|"BARRIO CIENAGUITA"
"1577802498"|"FRANCISCO MORAZAN"|"DISTRITO CENTRAL"|"DISTRITO CENTRAL"|"COLONIA LA ESPERANZA"
"1572282489"|"LA PAZ"|"MARCALA"|"MARCALA"|"BARRIO SAN RAFAEL"
"1572279211"|"FRANCISCO MORAZAN"|"DISTRITO CENTRAL"|"DISTRITO CENTRAL"|"RESIDENCIAL EL DORADO"
"1572278416"|"CORTES"|"SAN PEDRO SULA"|"SAN PEDRO SULA"|"RESIDENCIAL MIRAVALLE"
"1572845262"|"CORTES"|"SAN PEDRO SULA"|"SAN PEDRO SULA"|"BARRIO LEMPIRA"
"1572279310"|"FRANCISCO MORAZAN"|"DISTRITO CENTRAL"|"DISTRITO CENTRAL"|"RESIDENCIAL VILLA REAL"
"1572946309"|"FRANCISCO MORAZAN"|"DISTRITO CENTRAL"|"DISTRITO CENTRAL"|"COLONIA EL SITIO"
"1571687270"|"CORTES"|"SAN PEDRO SULA"|"SAN PEDRO SULA"|"COLONIA LOS NARANJOS"
"1572279596"|"FRANCISCO MORAZAN"|"DISTRITO CENTRAL"|"DISTRITO CENTRAL"|"COLONIA FLOR DEL CAMPO"
