"NEW_BP"|"SALDO_CHEQUE"|"SALDO_AHORRO"|"SALDO_CDP"
"1572279576"|262665.61000000|202999.06622500|39687918.50000000
"1580361774"|0.00000000|2516.30000000|0.00000000
"1572279695"|66479.50000000|30371.06282000|1700000.00000000
"1572900603"|0.00000000|15.34159000|0.00000000
"1572280938"|125122.14000000|3151919.35734000|25557569.50000000
"1572279338"|32254.18000000|54899.61777800|0.00000000
"1572280115"|88.39000000|24193.82000000|0.00000000
"1572278296"|500.01000000|5.46744500|0.00000000
"1581581053"|215.85000000|0.00000000|0.00000000
"1572278163"|550.00000000|13184.88640500|1429962.75000000
"1572279279"|0.08000000|39004.05000000|110000.00000000
"1572282580"|4267.35000000|237812.25484500|0.00000000
"1571992889"|0.00000000|1322.69000000|0.00000000
"1579367064"|0.00000000|15407.75000000|0.00000000
"1572749959"|21750.67000000|0.00000000|0.00000000
"1572279225"|2877657.75000000|6082008.67842500|1297225.00000000
"1572631637"|0.00000000|0.41000000|0.00000000
"1572307255"|0.00000000|764.89989000|0.00000000
"1578203971"|0.00000000|1427.27000000|0.00000000
"1572280647"|0.00000000|15874.43722500|10006.00000000
"1572279228"|494.06000000|9701.02000000|0.00000000
"1572727667"|5951.15000000|0.00000000|0.00000000
"1572278081"|5360.47000000|12657.71379000|0.00000000
"1572280324"|1396.11000000|8.85000000|0.00000000
"1572949892"|0.00000000|12809.25000000|0.00000000
"1577624161"|0.00000000|14014.38000000|0.00000000
"1572278952"|0.74000000|46045.43249500|0.00000000
"1579654535"|0.00000000|0.74000000|0.00000000
"1572004414"|0.00000000|82622.43697000|0.00000000
"1577802498"|0.00000000|949.02000000|0.00000000
"1572282489"|0.00000000|54193.03472500|0.00000000
"1572279211"|4604.26000000|1165246.61061500|4012000.00000000
"1572278416"|0.00000000|16119.68000000|0.00000000
"1572845262"|0.46000000|15153.74000000|0.00000000
"1572279310"|0.00000000|275.15000000|0.00000000
"1572946309"|1.17000000|0.00000000|0.00000000
"1571687270"|0.00000000|17240.33000000|820000.00000000
"1572279596"|6192.62000000|2261.97716000|0.00000000
"1571613136"|793.44000000|46610.18833500|0.00000000
"1572012065"|13133.97000000|1249.18000000|0.00000000
"1572541985"|53621.58000000|0.90000000|0.00000000
"1572282456"|25989.82000000|265087.37000000|0.00000000
"1572715347"|0.00000000|0.83000000|0.00000000
"1572278846"|0.00000000|28731.10799500|0.00000000
"1572855990"|0.07000000|4500.09000000|0.00000000
"1572280847"|0.00000000|101679.45000000|0.00000000
"1580273722"|0.00000000|4000.26000000|0.00000000
"1572280699"|23910.81000000|12056.65935500|300000.00000000
"1577843267"|0.00000000|240198.60120000|4720200.00000000
"1572145916"|0.00000000|41246.53258500|0.00000000
"1579021237"|780.86000000|0.00000000|0.00000000
"1579027062"|0.00000000|5855.33529000|31920.40500000
"1572280105"|98162.68000000|287965.12000000|0.00000000
"1572279973"|2377.44000000|10068.29000000|0.00000000
"1572279953"|23389.75000000|553625.96908500|0.00000000
"1571817811"|0.00000000|420.07000000|0.00000000
"1572279585"|0.00000000|31112.47161000|1200000.00000000
"1571959883"|0.00000000|46.30000000|0.00000000
"1572087398"|0.00000000|43428.64106500|0.00000000
"1571717152"|82.97000000|105004.14000000|576000.00000000
"1577916326"|0.47000000|344744.82353500|0.00000000
"1571535143"|68661.84000000|247295.09515000|0.00000000
"1572316243"|0.00000000|53035.62000000|0.00000000
"1571929114"|443.30000000|9206.68000000|0.00000000
"1572921839"|0.00000000|19217.15469500|13000.00000000
"1580514477"|0.00000000|192.70000000|0.00000000
"1572281020"|0.01000000|72746.34121500|0.00000000
"1571609468"|97817.91000000|703967.77000000|0.00000000
"1578698099"|0.00000000|2801.27000000|0.00000000
"1580267794"|0.00000000|18.31000000|0.00000000
"1572279852"|21547.32000000|3186.83812500|0.00000000
"1572279208"|6743.07000000|20569.17000000|0.00000000
"1580608263"|0.00000000|16.34000000|0.00000000
"1571718173"|0.00000000|274377.00243000|0.00000000
"1572279288"|0.00000000|0.24744500|0.00000000
"1573090774"|0.00000000|39089.89752000|74233.50000000
"1572278186"|0.76000000|41980.16166500|0.00000000
"1572279995"|7351.54000000|86239.69171500|0.00000000
"1572280564"|4778.14000000|1993.00387500|0.00000000
"1571695339"|52949.62000000|34300.15000000|0.00000000
"1572931860"|0.00000000|120.25526000|0.00000000
"1571690031"|0.00000000|12.25000000|0.00000000
"1579351373"|0.00000000|87514.15000000|0.00000000
"1572280055"|0.00000000|22527.60000000|0.00000000
"1572278171"|11890.49000000|27456.10404500|0.00000000
"1580307563"|0.00000000|87.74000000|0.00000000
"1577614580"|3636.40000000|2553.59000000|0.00000000
"1571658989"|5652.68000000|348.06000000|0.00000000
"1572541160"|0.00000000|15101.50000000|0.00000000
"1580396446"|1.76000000|0.00000000|0.00000000
"1579417494"|37601.70000000|35132.53000000|0.00000000
"1571533457"|105.06000000|1138.74467000|55675.12500000
"1572133129"|44324.19000000|194289.07045500|0.00000000
"1580094665"|0.00000000|2858.25000000|0.00000000
"1580170116"|0.00000000|1.11000000|0.00000000
"1571567329"|90179.43000000|443268.58871000|4700000.00000000
