"NEW_BP"|"MONTO_LPS"|"FECHA_TRANSACCION"|"CANAL"
"1571954824"|5711.00|2024-06-21|"CREDITO CUENTA"
"1579264436"|2591.84|2024-05-01|"CREDITO CUENTA"
"1579264436"|1086.54|2024-05-08|"CREDITO CUENTA"
"1579264436"|1037.27|2024-05-10|"CREDITO CUENTA"
"1579264436"|1234.83|2024-05-15|"CREDITO CUENTA"
"1579264436"|740.82|2024-05-21|"CREDITO CUENTA"
"1579264436"|3827.03|2024-05-27|"CREDITO CUENTA"
"1579264436"|2468.67|2024-06-03|"CREDITO CUENTA"
"1579264436"|1012.29|2024-06-10|"CREDITO CUENTA"
"1579264436"|765.99|2024-06-19|"CREDITO CUENTA"
"1579264436"|1607.23|2024-06-24|"CREDITO CUENTA"
"1579264436"|4453.85|2024-06-28|"CREDITO CUENTA"
"1581537479"|2461.00|2024-06-27|"CREDITO CUENTA"
"1581537479"|24690.00|2024-05-04|"CREDITO CUENTA"
"1581537479"|14814.00|2024-05-17|"CREDITO CUENTA"
"1581537479"|2469.05|2024-05-26|"CREDITO CUENTA"
"1581537479"|4197.38|2024-05-25|"CREDITO CUENTA"
"1581537479"|14571.11|2024-05-11|"CREDITO CUENTA"
"1581537479"|4946.00|2024-06-22|"CREDITO CUENTA"
"1571700034"|3705.00|2024-05-21|"CREDITO CUENTA"
"1571906501"|4000.02|2024-05-20|"CREDITO CUENTA"
"1571906501"|2468.99|2024-06-10|"CREDITO CUENTA"
"1572278362"|4939.36|2024-05-10|"CREDITO CUENTA"
"1572278362"|2468.67|2024-06-01|"CREDITO CUENTA"
"1572278362"|3703.49|2024-06-08|"CREDITO CUENTA"
"1572278362"|3703.58|2024-05-25|"CREDITO CUENTA"
"1572278362"|3461.14|2024-06-21|"CREDITO CUENTA"
"1571625501"|8164.20|2024-06-26|"CREDITO CUENTA"
"1571625501"|9629.10|2024-05-04|"CREDITO CUENTA"
"1571625501"|2469.00|2024-05-25|"CREDITO CUENTA"
"1571625501"|7407.00|2024-05-26|"CREDITO CUENTA"
"1571625501"|4197.30|2024-06-08|"CREDITO CUENTA"
"1580649648"|12345.30|2024-05-06|"CREDITO CUENTA"
"1580649648"|12328.10|2024-06-04|"CREDITO CUENTA"
"1580649648"|9894.08|2024-06-26|"CREDITO CUENTA"
"1572781441"|5064.20|2024-06-15|"CREDITO CUENTA"
"1572781441"|2000.98|2024-06-16|"CREDITO CUENTA"
"1579163657"|493.89|2024-05-18|"CREDITO CUENTA"
"1572246022"|6740.00|2024-05-04|"CREDITO CUENTA"
"1572246022"|4740.00|2024-06-12|"CREDITO CUENTA"
"1572031530"|4454.01|2024-06-30|"CREDITO CUENTA"
"1572031530"|7529.44|2024-06-01|"CREDITO CUENTA"
"1572031530"|15061.27|2024-05-04|"CREDITO CUENTA"
"1572031530"|6962.92|2024-05-24|"CREDITO CUENTA"
"1572031530"|5505.85|2024-06-09|"CREDITO CUENTA"
"1572031530"|5061.57|2024-05-04|"CREDITO CUENTA"
"1581680749"|47570.00|2024-05-16|"CREDITO CUENTA"
"1581680749"|4000.00|2024-05-13|"CREDITO CUENTA"
"1572304681"|1607.23|2024-06-22|"CREDITO CUENTA"
"1572304681"|1605.29|2024-05-11|"CREDITO CUENTA"
"1572280814"|11355.66|2024-06-28|"CREDITO CUENTA"
"1572280814"|13659.10|2024-05-16|"CREDITO CUENTA"
"1572280814"|11357.40|2024-05-31|"CREDITO CUENTA"
"1572280814"|1002.41|2024-05-22|"CREDITO CUENTA"
"1572280814"|20081.10|2024-06-14|"CREDITO CUENTA"
"1572145253"|1728.62|2024-05-20|"CREDITO CUENTA"
"1572145253"|864.15|2024-06-09|"CREDITO CUENTA"
"1572145253"|6172.18|2024-05-29|"CREDITO CUENTA"
"1572821987"|172.82|2024-05-29|"CREDITO CUENTA"
"1572821987"|419.73|2024-06-12|"CREDITO CUENTA"
"1571850833"|4000.00|2024-06-28|"CREDITO CUENTA"
"1571850833"|9818.36|2024-05-21|"CREDITO CUENTA"
"1571850833"|18273.71|2024-05-08|"CREDITO CUENTA"
"1571850833"|18267.86|2024-06-05|"CREDITO CUENTA"
"1571850833"|9875.48|2024-05-29|"CREDITO CUENTA"
"1571850833"|8521.00|2024-05-16|"CREDITO CUENTA"
"1571850833"|11111.00|2024-05-28|"CREDITO CUENTA"
"1571850833"|11236.00|2024-05-20|"CREDITO CUENTA"
"1571850833"|4939.00|2024-05-24|"CREDITO CUENTA"
"1571850833"|12349.00|2024-05-17|"CREDITO CUENTA"
"1580273079"|4722.43|2024-06-30|"CREDITO CUENTA"
"1572278212"|2666.52|2024-05-28|"CREDITO CUENTA"
"1572278212"|1012.29|2024-05-24|"CREDITO CUENTA"
"1572278212"|370.35|2024-06-08|"CREDITO CUENTA"
"1581252650"|21316.15|2024-06-30|"CREDITO CUENTA"
"1581252650"|32813.22|2024-05-31|"CREDITO CUENTA"
"1581252650"|9795.02|2024-06-18|"CREDITO CUENTA"
"1572810802"|2436.89|2024-06-29|"CREDITO CUENTA"
"1572810802"|1234.50|2024-06-07|"CREDITO CUENTA"
"1572810802"|2223.00|2024-06-15|"CREDITO CUENTA"
"1572399441"|16055.00|2024-05-11|"CREDITO CUENTA"
"1572399441"|10122.90|2024-05-25|"CREDITO CUENTA"
"1571976810"|24690.50|2024-05-25|"CREDITO CUENTA"
"1572687182"|7175.00|2024-06-04|"CREDITO CUENTA"
"1572687182"|2666.79|2024-06-12|"CREDITO CUENTA"
"1572804662"|1728.07|2024-06-02|"CREDITO CUENTA"
"1571884342"|4948.70|2024-06-29|"CREDITO CUENTA"
"1571884342"|2474.35|2024-06-28|"CREDITO CUENTA"
"1571884342"|7411.00|2024-06-17|"CREDITO CUENTA"
"1572289562"|21775.16|2024-06-30|"CREDITO CUENTA"
"1572289562"|25931.22|2024-06-13|"CREDITO CUENTA"
"1572289562"|1236.03|2024-06-20|"CREDITO CUENTA"
"1572289562"|988.37|2024-06-19|"CREDITO CUENTA"
"1572289562"|6235.43|2024-06-29|"CREDITO CUENTA"
"1572289562"|13001.69|2024-05-22|"CREDITO CUENTA"
"1572289562"|3492.87|2024-06-08|"CREDITO CUENTA"
"1572289562"|12000.31|2024-06-21|"CREDITO CUENTA"
"1572329446"|10002.02|2024-06-30|"CREDITO CUENTA"
"1572329446"|5501.17|2024-06-04|"CREDITO CUENTA"
"1572397942"|2024.58|2024-05-24|"CREDITO CUENTA"
"1572027650"|9677.93|2024-06-07|"CREDITO CUENTA"
"1571694855"|3704.18|2024-05-18|"CREDITO CUENTA"
"1572198139"|4800.00|2024-05-07|"CREDITO CUENTA"
"1572198139"|3125.00|2024-05-29|"CREDITO CUENTA"
"1572198139"|500.00|2024-05-04|"CREDITO CUENTA"
"1572198139"|501.00|2024-05-07|"CREDITO CUENTA"
"1572381007"|7000.00|2024-06-13|"CREDITO CUENTA"
"1572381007"|65022.80|2024-06-29|"CREDITO CUENTA"
"1572381007"|20004.08|2024-06-13|"CREDITO CUENTA"
"1572309885"|7371.99|2024-05-11|"CREDITO CUENTA"
"1572309885"|9864.08|2024-05-04|"CREDITO CUENTA"
"1572309885"|12330.05|2024-05-25|"CREDITO CUENTA"
"1572309885"|5426.61|2024-05-12|"CREDITO CUENTA"
"1572309885"|7403.64|2024-06-19|"CREDITO CUENTA"
"1572279076"|4880.00|2024-05-13|"CREDITO CUENTA"
"1572229742"|4944.00|2024-06-29|"CREDITO CUENTA"
"1572229742"|34580.00|2024-06-20|"CREDITO CUENTA"
"1572408582"|13518.54|2024-05-27|"CREDITO CUENTA"
"1572001005"|2469.00|2024-05-02|"CREDITO CUENTA"
"1572001005"|5679.00|2024-05-28|"CREDITO CUENTA"
"1572805159"|4717.01|2024-06-13|"CREDITO CUENTA"
"1571650558"|19406.27|2024-05-10|"CREDITO CUENTA"
"1571650558"|12646.65|2024-05-10|"CREDITO CUENTA"
"1571650558"|8850.09|2024-05-28|"CREDITO CUENTA"
"1571650558"|2299.94|2024-05-07|"CREDITO CUENTA"
"1571650558"|2000.13|2024-06-09|"CREDITO CUENTA"
"1571650558"|5599.93|2024-06-17|"CREDITO CUENTA"
"1579284264"|3802.34|2024-05-27|"CREDITO CUENTA"
"1579284264"|3809.85|2024-06-27|"CREDITO CUENTA"
"1581521389"|11128.50|2024-06-29|"CREDITO CUENTA"
"1581521389"|7409.01|2024-05-15|"CREDITO CUENTA"
"1581521389"|26670.79|2024-05-05|"CREDITO CUENTA"
"1581521389"|11113.56|2024-05-10|"CREDITO CUENTA"
"1581521389"|6171.68|2024-06-03|"CREDITO CUENTA"
"1581521389"|9876.00|2024-06-01|"CREDITO CUENTA"
"1581521389"|14808.00|2024-06-07|"CREDITO CUENTA"
"1581521389"|12844.00|2024-06-19|"CREDITO CUENTA"
"1581521389"|12360.00|2024-06-22|"CREDITO CUENTA"
"1572402967"|3000.00|2024-06-28|"CREDITO CUENTA"
"1572402967"|4000.00|2024-05-11|"CREDITO CUENTA"
"1572402967"|9400.00|2024-06-08|"CREDITO CUENTA"
"1572402967"|1000.00|2024-06-14|"CREDITO CUENTA"
"1572402967"|2470.00|2024-05-25|"CREDITO CUENTA"
